# Forces      
# CofR        : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
1040          	((5.605564e+00 2.450287e+02 2.786843e-18) (1.576073e+00 -1.023552e-02 8.504850e-20)) ((-5.426607e-16 -2.324940e-17 -3.299786e+01) (-2.305578e-19 3.195031e-18 -9.672928e-02))
1050          	((5.605555e+00 2.450289e+02 2.786830e-18) (1.576073e+00 -1.023554e-02 8.504869e-20)) ((-5.426612e-16 -2.324960e-17 -3.299789e+01) (-2.305577e-19 3.195034e-18 -9.672936e-02))
1060          	((5.605549e+00 2.450290e+02 2.786819e-18) (1.576073e+00 -1.023556e-02 8.504885e-20)) ((-5.426617e-16 -2.324977e-17 -3.299791e+01) (-2.305577e-19 3.195036e-18 -9.672942e-02))
1070          	((5.605543e+00 2.450291e+02 2.786810e-18) (1.576074e+00 -1.023557e-02 8.504895e-20)) ((-5.426620e-16 -2.324990e-17 -3.299793e+01) (-2.305576e-19 3.195037e-18 -9.672948e-02))
1080          	((5.605537e+00 2.450293e+02 2.786801e-18) (1.576074e+00 -1.023559e-02 8.504910e-20)) ((-5.426624e-16 -2.325004e-17 -3.299795e+01) (-2.305575e-19 3.195039e-18 -9.672953e-02))
1090          	((5.605533e+00 2.450294e+02 2.786793e-18) (1.576074e+00 -1.023560e-02 8.504921e-20)) ((-5.426627e-16 -2.325016e-17 -3.299797e+01) (-2.305575e-19 3.195040e-18 -9.672957e-02))
1100          	((5.605528e+00 2.450295e+02 2.786786e-18) (1.576074e+00 -1.023561e-02 8.504928e-20)) ((-5.426630e-16 -2.325026e-17 -3.299798e+01) (-2.305575e-19 3.195041e-18 -9.672961e-02))
1110          	((5.605524e+00 2.450296e+02 2.786780e-18) (1.576074e+00 -1.023562e-02 8.504937e-20)) ((-5.426632e-16 -2.325035e-17 -3.299800e+01) (-2.305574e-19 3.195043e-18 -9.672964e-02))
1120          	((5.605520e+00 2.450296e+02 2.786775e-18) (1.576074e+00 -1.023563e-02 8.504945e-20)) ((-5.426634e-16 -2.325043e-17 -3.299801e+01) (-2.305574e-19 3.195044e-18 -9.672967e-02))
1130          	((5.605519e+00 2.450297e+02 2.786771e-18) (1.576074e+00 -1.023564e-02 8.504951e-20)) ((-5.426636e-16 -2.325049e-17 -3.299802e+01) (-2.305574e-19 3.195044e-18 -9.672970e-02))
1140          	((5.605516e+00 2.450298e+02 2.786767e-18) (1.576074e+00 -1.023565e-02 8.504955e-20)) ((-5.426638e-16 -2.325055e-17 -3.299803e+01) (-2.305573e-19 3.195045e-18 -9.672972e-02))
1150          	((5.605513e+00 2.450298e+02 2.786763e-18) (1.576074e+00 -1.023566e-02 8.504961e-20)) ((-5.426639e-16 -2.325061e-17 -3.299804e+01) (-2.305573e-19 3.195046e-18 -9.672974e-02))
1160          	((5.605512e+00 2.450299e+02 2.786760e-18) (1.576074e+00 -1.023567e-02 8.504967e-20)) ((-5.426640e-16 -2.325065e-17 -3.299804e+01) (-2.305572e-19 3.195046e-18 -9.672975e-02))
1170          	((5.605510e+00 2.450299e+02 2.786758e-18) (1.576074e+00 -1.023568e-02 8.504970e-20)) ((-5.426641e-16 -2.325069e-17 -3.299805e+01) (-2.305572e-19 3.195047e-18 -9.672977e-02))
1180          	((5.605508e+00 2.450299e+02 2.786755e-18) (1.576074e+00 -1.023567e-02 8.504974e-20)) ((-5.426642e-16 -2.325074e-17 -3.299805e+01) (-2.305573e-19 3.195047e-18 -9.672979e-02))
1190          	((5.605505e+00 2.450300e+02 2.786752e-18) (1.576074e+00 -1.023568e-02 8.504978e-20)) ((-5.426643e-16 -2.325078e-17 -3.299806e+01) (-2.305572e-19 3.195048e-18 -9.672979e-02))
1200          	((5.605504e+00 2.450300e+02 2.786751e-18) (1.576074e+00 -1.023568e-02 8.504980e-20)) ((-5.426643e-16 -2.325080e-17 -3.299806e+01) (-2.305572e-19 3.195048e-18 -9.672980e-02))
